date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
2001-06-21,200000,202000,196000,198000,200000,816100
2001-06-22,197000,197000,191000,193500,198000,893742
2001-06-25,192000,196500,190000,193500,193500,518554
2001-06-26,193500,195000,189000,189000,193500,670094
2001-06-27,189500,190000,185000,186000,189000,819708
2001-06-28,185000,189500,184500,187500,186000,540822
2001-06-29,192000,192500,190000,192000,187500,613537
2001-07-02,192000,194000,190500,193000,192000,465694
2001-07-03,195000,195500,193500,194500,193000,406148
2001-07-04,192000,197000,192000,197000,194500,274111
2001-07-05,197000,197500,193000,193000,197000,311035
2001-07-06,187000,188500,182500,183500,193000,760498
2001-07-09,175000,177000,169500,171000,183500,1632709
2001-07-10,172000,174500,169500,170000,171000,653353
2001-07-11,164000,170500,164000,169000,170000,759411
2001-07-12,174000,178000,173000,176000,169000,1327393
2001-07-13,182000,182000,168000,170000,176000,931217
2001-07-16,168500,169500,163000,167000,170000,558267
2001-07-18,168000,171000,166500,167500,167000,668626
2001-07-19,166500,177000,165500,177000,167500,746507
2001-07-20,176000,180000,173500,176000,177000,592597
2001-07-23,175000,175000,171500,173000,176000,425554
2001-07-24,170000,175500,170000,173500,173000,429673
2001-07-25,173000,179500,172000,178500,173500,418182
2001-07-26,179500,182500,179500,181500,178500,437342
2001-07-27,186500,189500,184500,185500,181500,576045
2001-07-30,188000,189000,184500,185500,185500,401109
2001-07-31,187000,190500,186000,189500,185500,444664
2001-08-01,191500,199500,190500,198000,189500,1157583
2001-08-02,201000,202000,194000,195500,198000,635840
2001-08-03,200000,201000,197500,199500,195500,655941
2001-08-06,196500,200000,195000,199000,199500,322611
2001-08-07,194000,195000,190500,193000,199000,441781
2001-08-08,191000,192000,187000,190000,193000,268180
2001-08-09,184500,186500,183000,183000,190000,583411
2001-08-10,185500,189000,185500,186500,183000,231661
2001-08-13,188500,191500,187500,191500,186500,372898
2001-08-14,195000,198000,193500,197500,191500,424405
2001-08-16,192000,195000,191000,195000,197500,366645
2001-08-17,195000,198000,193500,196000,195000,354953
